id,name,company_name,company_id,iden_bus_number,iden_bus_plateno
1,Allendale,Northern Highlands Reg HS,20,,
2,Alpine/Bergenfield,Bergenfield BOE,19,,
3,Bogota/Moonachie,First Student-Bogota BOE,17,,
4,Carlstadt/East Rutherford/Wood Ridge,Carlstadt/E. Rutherford BOE,18,,
5,CliffsidePark/Fairview/Palisades Park,Cliffside Park BOE,16,,
6,Closter/Demarest,Valley Trans.,1,47,N116S1
7,Cresskill,Valley Trans.,1,,
8,Dumont,Mayor Trans.,12,,
9,Edgewater/Leonia,Leonia BOE,13,,
10,Elmwood Park,Elmwood Park BOE,21,,OYA4650
11,Emerson/River Dell,Emerson BOE,3,,
12,Englewood /Englewood Cliffs,First Student,2,KB0579,OYB2016
13,Fairlawn,First Student,2,KB039,N820S1
14,Fort Lee,Treadaway Trans.,11,NB5593,0160S1
15,Franklin Lakes BA 10,D&M Trans.,4,64,
16,FranklinLakes/Wyckoff BA 9,D&M Trans.,4,261,R989S1
17,Garfield,Garfield BOE,14,,
18,Glen Rock,Scholastic Bus Co.,5,4282,S1922
19,Harrington Park/Haworth,Valley Trans.,1,30,B639S1
20,Hasbrouck Heights/Wallington,John Leckie,7,22,S12171
21,Hillsdale/ParkRidge/WoodcliffLake,Scholastic Bus Co.,5,3811,S13258
22,Hillsdale/River Vale,Scholastic Bus Co.,5,3857,S12116
23,Ho-Ho-Kus,Kris Trans.,6,108,A878S2
24,Little Ferry,Little Ferry BOE,22,,
25,Lodi,First Student,2,SB41,S14055
26,Lyndhurst /North Arlington,First Student,2,KB0448,N811S1
27,Mahwah East,Valley Trans.,1,37,C528S1
28,Mahwah West,Valley Trans.,1,39,G412S1
29,Maywood/Rochelle Park,Maywood BOE,8,,
30,Montvale,Scholastic Bus Co.,5,1714,G953S1
31,New Milford,New Milford BOE,10,,
32,Norwood/Northvale/Old Tappan,Valley Trans.,1,57,S275S1
33,Oakland,Valley Trans.,1,20,S1P686
34,Paramus East,D&M Trans.,4,271,R990S1
35,Paramus West,D&M Trans.,4,231,R996S1
36,Ramsey,Valley Trans.,1,53,S444S1
37,Ridgefield,Valley Trans.,1,45,
38,Ridgefield Park,Ridgefield Park BOE,15,,
39,Ridgewood,Valley Trans.,1,55,S273S1
40,Rutherford,John Leckie,7,,S120S1
41,Saddle River,MNM Group,9,23,Z301S1
42,Teaneck,First Student,2,NB55,R174S1
43,Tenafly,First Student,2,SB4129,S14087
44,Upper Saddle River,Valley Trans.,1,33,B636S1
45,Waldwick/Midland Park,Valley Trans.,1,,S443S1
46,Washington Twp/ Westwood,Valley Trans.,1,36,C527S1
